.,n,Word,Freq,Rank
thereafter,4,thereafter,4,411
were,4,were,4,412
writing,4,writing,4,413
"
amendments",3,"
amendments",3,414
"
an",3,"
an",3,415
"
appropriation",3,"
appropriation",3,416
"
bounties",3,"
bounties",3,417
"
by",3,"
by",3,418
"
chosen",3,"
chosen",3,419
"
consequence",3,"
consequence",3,420
"
courts",3,"
courts",3,421
"
customs",3,"
customs",3,422
"
expiration",3,"
expiration",3,423
"
if",3,"
if",3,424
"
increasing",3,"
increasing",3,425
"
is",3,"
is",3,426
"
necessary",3,"
necessary",3,427
"
otherwise",3,"
otherwise",3,428
"
provides",3,"
provides",3,429
"
representative",3,"
representative",3,430
"
revenue",3,"
revenue",3,431
"
senators",3,"
senators",3,432
"
transferred",3,"
transferred",3,433
"
vacant",3,"
vacant",3,434
"
voting",3,"
voting",3,435
"
years",3,"
years",3,436
1,3,1,3,437
2,3,2,3,438
3,3,3,3,439
4,3,4,3,440
5,3,5,3,441
6,3,6,3,442
affect,3,affect,3,443
afterwards,3,afterwards,3,444
allegiance,3,allegiance,3,445
allowance,3,allowance,3,446
altered,3,altered,3,447
"any
",3,"any
",3,448
appeals,3,appeals,3,449
applied,3,applied,3,450
appropriation,3,appropriation,3,451
approve,3,approve,3,452
australasia,3,australasia,3,453
beginning,3,beginning,3,454
bounties,3,bounties,3,455
bounty,3,bounty,3,456
business,3,business,3,457
called,3,called,3,458
can,3,can,3,459
cases,3,cases,3,460
chief,3,chief,3,461
collected,3,collected,3,462
constitutional,3,constitutional,3,463
consumption,3,consumption,3,464
continue,3,continue,3,465
convicted,3,convicted,3,466
credit,3,credit,3,467
crown,3,crown,3,468
date,3,date,3,469
declared,3,declared,3,470
deems,3,deems,3,471
deputy,3,deputy,3,472
determining,3,determining,3,473
discrimination,3,discrimination,3,474
dividing,3,dividing,3,475
effect,3,effect,3,476
elected,3,elected,3,477
electorate,3,electorate,3,478
exercised,3,exercised,3,479
exercising,3,exercising,3,480
extending,3,extending,3,481
extent,3,extent,3,482
financial,3,financial,3,483
"for
",3,"for
",3,484
forces,3,forces,3,485
foreign,3,foreign,3,486
good,3,good,3,487
granted,3,granted,3,488
half,3,half,3,489
happens,3,happens,3,490
heirs,3,heirs,3,491
importation,3,importation,3,492
imported,3,imported,3,493
incapable,3,incapable,3,494
increase,3,increase,3,495
insurance,3,insurance,3,496
issue,3,issue,3,497
judges,3,judges,3,498
july,3,july,3,499
june,3,june,3,500
known,3,known,3,501
latest,3,latest,3,502
leave,3,leave,3,503
like,3,like,3,504
longer,3,longer,3,505
mean,3,mean,3,506
meet,3,meet,3,507
month,3,month,3,508
nine,3,nine,3,509
nothing,3,nothing,3,510
numbers,3,numbers,3,511
order,3,order,3,512
parties,3,parties,3,513
preference,3,preference,3,514
prescribed,3,prescribed,3,515
presented,3,presented,3,516
privileges,3,privileges,3,517
production,3,production,3,518
proportion,3,proportion,3,519
provide,3,provide,3,520
provided,3,provided,3,521
questions,3,questions,3,522
quota,3,quota,3,523
race,3,race,3,524
reason,3,reason,3,525
referred,3,referred,3,526
referring,3,referring,3,527
regulation,3,regulation,3,528
revenues,3,revenues,3,529
schedule,3,schedule,3,530
seven,3,seven,3,531
shown,3,shown,3,532
some,3,some,3,533
successors,3,successors,3,534
sum,3,sum,3,535
summoned,3,summoned,3,536
taking,3,taking,3,537
thereto,3,thereto,3,538
thereupon,3,thereupon,3,539
third,3,third,3,540
thirtieth,3,thirtieth,3,541
transfer,3,transfer,3,542
trial,3,trial,3,543
used,3,used,3,544
value,3,value,3,545
vi,3,vi,3,546
vii,3,vii,3,547
viii,3,viii,3,548
votes,3,votes,3,549
where,3,where,3,550
whole,3,whole,3,551
writ,3,writ,3,552
"
agreement",2,"
agreement",2,553
"
appointed",2,"
appointed",2,554
"
australia",2,"
australia",2,555
"
become",2,"
become",2,556
"
becomes",2,"
becomes",2,557
"
came",2,"
came",2,558
"
commerce",2,"
commerce",2,559
"
court",2,"
court",2,560
"
declare",2,"
declare",2,561
"
department",2,"
department",2,562
"
division",2,"
division",2,563
"
duties",2,"
duties",2,564
"
effect",2,"
effect",2,565
"
election",2,"
election",2,566
"
federal",2,"
federal",2,567
"
his",2,"
his",2,568
"
may",2,"
may",2,569
"
member",2,"
member",2,570
"
notwithstanding",2,"
notwithstanding",2,571
"
office",2,"
office",2,572
"
on",2,"
on",2,573
"
passing",2,"
passing",2,574
"
people",2,"
people",2,575
"
person",2,"
person",2,576
"
place",2,"
place",2,577
"
places",2,"
places",2,578
"
power",2,"
power",2,579
"
presented",2,"
presented",2,580
"
queen",2,"
queen",2,581
"
relating",2,"
relating",2,582
"
speaker",2,"
speaker",2,583
"
states",2,"
states",2,584
"
subsequent",2,"
subsequent",2,585
"
taken",2,"
taken",2,586
"
taxation",2,"
taxation",2,587
"
territory",2,"
territory",2,588
"
there",2,"
there",2,589
"
therein",2,"
therein",2,590
"
thereof",2,"
thereof",2,591
"
vested",2,"
vested",2,592
"
which",2,"
which",2,593
"
with",2,"
with",2,594
7,2,7,2,595
8,2,8,2,596
9,2,9,2,597
acquired,2,acquired,2,598
acquisition,2,acquisition,2,599
acts,2,acts,2,600
address,2,address,2,601
administer,2,administer,2,602
administration,2,administration,2,603
adult,2,adult,2,604
affecting,2,affecting,2,605
affirmed,2,affirmed,2,606
allowances,2,allowances,2,607
alter,2,alter,2,608
"alteration
",2,"alteration
",2,609
among,2,among,2,610
applicable,2,applicable,2,611
applies,2,applies,2,612
appropriating,2,appropriating,2,613
ascertained,2,ascertained,2,614
assign,2,assign,2,615
attained,2,attained,2,616
attaining,2,attaining,2,617
attend,2,attend,2,618
balance,2,balance,2,619
banking,2,banking,2,620
bankrupt,2,bankrupt,2,621
beacons,2,beacons,2,622
bear,2,bear,2,623
begin,2,begin,2,624
benefits,2,benefits,2,625
borrowing,2,borrowing,2,626
buoys,2,buoys,2,627
carriage,2,carriage,2,628
carried,2,carried,2,629
cause,2,cause,2,630
ceases,2,ceases,2,631
certified,2,certified,2,632
certify,2,certify,2,633
charge,2,charge,2,634
chargeable,2,chargeable,2,635
citizen,2,citizen,2,636
civil,2,civil,2,637
class,2,class,2,638
coin,2,coin,2,639
collection,2,collection,2,640
committees,2,committees,2,641
"commonwealth
",2,"commonwealth
",2,642
compensation,2,compensation,2,643
composed,2,composed,2,644
concerned,2,concerned,2,645
conferring,2,conferring,2,646
connection,2,connection,2,647
consist,2,consist,2,648
constitute,2,constitute,2,649
construed,2,construed,2,650
containing,2,containing,2,651
corporations,2,corporations,2,652
counted,2,counted,2,653
countries,2,countries,2,654
debit,2,debit,2,655
declare,2,declare,2,656
defence,2,defence,2,657
defining,2,defining,2,658
deputies,2,deputies,2,659
despatch,2,despatch,2,660
diminished,2,diminished,2,661
directly,2,directly,2,662
disallowance,2,disallowance,2,663
dissolve,2,dissolve,2,664
dissolved,2,dissolved,2,665
division,2,division,2,666
divisions,2,divisions,2,667
do,2,do,2,668
does,2,does,2,669
"electors
",2,"electors
",2,670
exclusively,2,exclusively,2,671
existing,2,existing,2,672
expire,2,expire,2,673
expiry,2,expiry,2,674
extends,2,extends,2,675
faithful,2,faithful,2,676
fees,2,fees,2,677
finance,2,finance,2,678
fix,2,fix,2,679
former,2,former,2,680
four,2,four,2,681
fourteen,2,fourteen,2,682
fourth,2,fourth,2,683
free,2,free,2,684
"from
",2,"from
",2,685
full,2,full,2,686
functions,2,functions,2,687
given,2,given,2,688
gold,2,gold,2,689
great,2,great,2,690
ground,2,ground,2,691
having,2,having,2,692
hereby,2,hereby,2,693
higher,2,higher,2,694
holds,2,holds,2,695
immunities,2,immunities,2,696
"in
",2,"in
",2,697
incapacity,2,incapacity,2,698
incurred,2,incurred,2,699
insolvent,2,insolvent,2,700
inspection,2,inspection,2,701
invalid,2,invalid,2,702
ireland,2,ireland,2,703
jointly,2,jointly,2,704
judgments,2,judgments,2,705
judicature,2,judicature,2,706
later,2,later,2,707
latter,2,latter,2,708
"least
",2,"least
",2,709
legal,2,legal,2,710
liable,2,liable,2,711
lies,2,lies,2,712
lighthouses,2,lighthouses,2,713
lightships,2,lightships,2,714
limitations,2,limitations,2,715
maintain,2,maintain,2,716
makes,2,makes,2,717
management,2,management,2,718
means,2,means,2,719
method,2,method,2,720
miles,2,miles,2,721
misbehaviour,2,misbehaviour,2,722
miscellaneous,2,miscellaneous,2,723
mode,2,mode,2,724
navigation,2,navigation,2,725
net,2,net,2,726
nor,2,nor,2,727
notified,2,notified,2,728
oath,2,oath,2,729
offences,2,offences,2,730
"office
",2,"office
",2,731
once,2,once,2,732
orders,2,orders,2,733
originated,2,originated,2,734
paragraph,2,paragraph,2,735
particular,2,particular,2,736
peace,2,peace,2,737
pecuniary,2,pecuniary,2,738
perform,2,perform,2,739
permission,2,permission,2,740
permitted,2,permitted,2,741
political,2,political,2,742
port,2,port,2,743
praying,2,praying,2,744
prescribing,2,prescribing,2,745
presence,2,presence,2,746
present,2,present,2,747
proceed,2,proceed,2,748
proceeding,2,proceeding,2,749
proceedings,2,proceedings,2,750
produced,2,produced,2,751
proved,2,proved,2,752
qualified,2,qualified,2,753
quarantine,2,quarantine,2,754
railway,2,railway,2,755
rate,2,rate,2,756
received,2,received,2,757
records,2,records,2,758
reference,2,reference,2,759
relation,2,relation,2,760
religion,2,religion,2,761
religious,2,religious,2,762
removal,2,removal,2,763
reserved,2,reserved,2,764
residents,2,residents,2,765
resolution,2,resolution,2,766
respecting,2,respecting,2,767
respective,2,respective,2,768
retiring,2,retiring,2,769
return,2,return,2,770
satisfied,2,satisfied,2,771
se,2,se,2,772
second,2,second,2,773
ships,2,ships,2,774
silver,2,silver,2,775
soon,2,soon,2,776
special,2,special,2,777
speech,2,speech,2,778
submitted,2,submitted,2,779
"such
",2,"such
",2,780
surrender,2,surrender,2,781
takes,2,takes,2,782
tax,2,tax,2,783
tender,2,tender,2,784
"than
",2,"than
",2,785
they,2,they,2,786
times,2,times,2,787
together,2,together,2,788
total,2,total,2,789
true,2,true,2,790
twelve,2,twelve,2,791
twice,2,twice,2,792
"under
",2,"under
",2,793
undue,2,undue,2,794
unjust,2,unjust,2,795
unreasonable,2,unreasonable,2,796
use,2,use,2,797
waters,2,waters,2,798
whereas,2,whereas,2,799
whether,2,whether,2,800
"
absence",1,"
absence",1,801
"
absolute",1,"
absolute",1,802
"
accepted",1,"
accepted",1,803
"
according",1,"
according",1,804
"
account",1,"
account",1,805
"
adherence",1,"
adherence",1,806
"
affected",1,"
affected",1,807
"
affirmation",1,"
affirmation",1,808
"
afterwards",1,"
afterwards",1,809
"
aid",1,"
aid",1,810
"
all",1,"
all",1,811
"
allegiance",1,"
allegiance",1,812
"
alteration",1,"
alteration",1,813
"
appeal",1,"
appeal",1,814
"
appoint",1,"
appoint",1,815
"
ascertained",1,"
ascertained",1,816
"
attained",1,"
attained",1,817
"
authorise",1,"
authorise",1,818
"
authority",1,"
authority",1,819
"
before",1,"
before",1,820
"
beginning",1,"
beginning",1,821
"
behalf",1,"
behalf",1,822
"
being",1,"
being",1,823
"
belonging",1,"
belonging",1,824
"
binding",1,"
binding",1,825
"
britain",1,"
britain",1,826
"
business",1,"
business",1,827
"
chargeable",1,"
chargeable",1,828
"
choose",1,"
choose",1,829
"
collected",1,"
collected",1,830
"
colony",1,"
colony",1,831
"
committed",1,"
committed",1,832
"
commons",1,"
commons",1,833
"
concerned",1,"
concerned",1,834
"
connection",1,"
connection",1,835
"
consist",1,"
consist",1,836
"
consisting",1,"
consisting",1,837
"
constitute",1,"
constitute",1,838
"
constitutional",1,"
constitutional",1,839
"
continue",1,"
continue",1,840
"
control",1,"
control",1,841
"
day",1,"
day",1,842
"
decision",1,"
decision",1,843
"
declared",1,"
declared",1,844
"
departments",1,"
departments",1,845
"
deputies",1,"
deputies",1,846
"
despatch",1,"
despatch",1,847
"
destination",1,"
destination",1,848
"
determine",1,"
determine",1,849
"
determining",1,"
determining",1,850
"
diminished",1,"
diminished",1,851
"
directly",1,"
directly",1,852
"
discrimination",1,"
discrimination",1,853
"
dissolution",1,"
dissolution",1,854
"
dissolved",1,"
dissolved",1,855
"
during",1,"
during",1,856
"
each",1,"
each",1,857
"
either",1,"
either",1,858
"
elections",1,"
elections",1,859
"
endorsed",1,"
endorsed",1,860
"
equally",1,"
equally",1,861
"
establishment",1,"
establishment",1,862
"
excise",1,"
excise",1,863
"
exclusively",1,"
exclusively",1,864
"
executive",1,"
executive",1,865
"
exercise",1,"
exercise",1,866
"
expenditure",1,"
expenditure",1,867
"
extent",1,"
extent",1,868
"
family",1,"
family",1,869
"
five",1,"
five",1,870
"
follows",1,"
follows",1,871
"
four",1,"
four",1,872
"
further",1,"
further",1,873
"
general",1,"
general",1,874
"
give",1,"
give",1,875
"
god",1,"
god",1,876
"
granting",1,"
granting",1,877
"
had",1,"
had",1,878
"
he",1,"
he",1,879
"
her",1,"
her",1,880
"
honorarium",1,"
honorarium",1,881
"
hospital",1,"
hospital",1,882
"
houses",1,"
houses",1,883
"
imported",1,"
imported",1,884
"
impose",1,"
impose",1,885
"
imposing",1,"
imposing",1,886
"
interval",1,"
interval",1,887
"
invasion",1,"
invasion",1,888
"
its",1,"
its",1,889
"
judicature",1,"
judicature",1,890
"
jurisdiction",1,"
jurisdiction",1,891
"
kingdom",1,"
kingdom",1,892
"
land",1,"
land",1,893
"
law",1,"
law",1,894
"
laws",1,"
laws",1,895
"
like",1,"
like",1,896
"
maintain",1,"
maintain",1,897
"
maintained",1,"
maintained",1,898
"
maintenance",1,"
maintenance",1,899
"
majesty",1,"
majesty",1,900
"
management",1,"
management",1,901
"
members",1,"
members",1,902
"
mentioned",1,"
mentioned",1,903
"
method",1,"
method",1,904
"
months",1,"
months",1,905
"
more",1,"
more",1,906
"
nearly",1,"
nearly",1,907
"
nest",1,"
nest",1,908
"
new",1,"
new",1,909
"
number",1,"
number",1,910
"
occurred",1,"
occurred",1,911
"
officer",1,"
officer",1,912
"
often",1,"
often",1,913
"
omissions",1,"
omissions",1,914
"
once",1,"
once",1,915
"
ordinary",1,"
ordinary",1,916
"
other",1,"
other",1,917
"
over",1,"
over",1,918
"
paid",1,"
paid",1,919
"
party",1,"
party",1,920
"
passes",1,"
passes",1,921
"
payable",1,"
payable",1,922
"
payment",1,"
payment",1,923
"
pensions",1,"
pensions",1,924
"
persons",1,"
persons",1,925
"
pleasure",1,"
pleasure",1,926
"
powers",1,"
powers",1,927
"
preference",1,"
preference",1,928
"
prescribed",1,"
prescribed",1,929
"
proceeding",1,"
proceeding",1,930
"
production",1,"
production",1,931
"
prohibiting",1,"
prohibiting",1,932
"
property",1,"
property",1,933
"
proportion",1,"
proportion",1,934
"
proposed",1,"
proposed",1,935
"
public",1,"
public",1,936
"
qualification",1,"
qualification",1,937
"
queensland",1,"
queensland",1,938
"
question",1,"
question",1,939
"
railways",1,"
railways",1,940
"
rate",1,"
rate",1,941
"
receive",1,"
receive",1,942
"
reckoning",1,"
reckoning",1,943
"
relation",1,"
relation",1,944
"
removal",1,"
removal",1,945
"
rendered",1,"
rendered",1,946
"
repealed",1,"
repealed",1,947
"
requires",1,"
requires",1,948
"
respecting",1,"
respecting",1,949
"
return",1,"
return",1,950
"
same",1,"
same",1,951
"
seat",1,"
seat",1,952
"
senator",1,"
senator",1,953
"
sentence",1,"
sentence",1,954
"
service",1,"
service",1,955
"
session",1,"
session",1,956
"
sessions",1,"
sessions",1,957
"
settlement",1,"
settlement",1,958
"
sits",1,"
sits",1,959
"
sitting",1,"
sitting",1,960
"
special",1,"
special",1,961
"
subject",1,"
subject",1,962
"
sues",1,"
sues",1,963
"
suggested",1,"
suggested",1,964
"
sworn",1,"
sworn",1,965
"
sydney",1,"
sydney",1,966
"
takes",1,"
takes",1,967
"
terms",1,"
terms",1,968
"
their",1,"
their",1,969
"
therefor",1,"
therefor",1,970
"
thereto",1,"
thereto",1,971
"
this",1,"
this",1,972
"
time",1,"
time",1,973
"
towards",1,"
towards",1,974
"
trade",1,"
trade",1,975
"
treasury",1,"
treasury",1,976
"
twenty",1,"
twenty",1,977
"
two",1,"
two",1,978
"
united",1,"
united",1,979
"
until",1,"
until",1,980
"
use",1,"
use",1,981
"
vote",1,"
vote",1,982
"
wales",1,"
wales",1,983
"
western",1,"
western",1,984
"
whole",1,"
whole",1,985
"
will",1,"
will",1,986
"
without",1,"
without",1,987
"
would",1,"
would",1,988
"
writing",1,"
writing",1,989
10,1,10,1,990
100,1,100,1,991
101,1,101,1,992
102,1,102,1,993
103,1,103,1,994
104,1,104,1,995
105,1,105,1,996
105a,1,105a,1,997
106,1,106,1,998
107,1,107,1,999
108,1,108,1,1000
109,1,109,1,1001
11,1,11,1,1002
110,1,110,1,1003
111,1,111,1,1004
112,1,112,1,1005
113,1,113,1,1006
114,1,114,1,1007
115,1,115,1,1008
116,1,116,1,1009
117,1,117,1,1010
118,1,118,1,1011
119,1,119,1,1012
12,1,12,1,1013
120,1,120,1,1014
121,1,121,1,1015
122,1,122,1,1016
123,1,123,1,1017
124,1,124,1,1018
125,1,125,1,1019
126,1,126,1,1020
128,1,128,1,1021
13,1,13,1,1022
14,1,14,1,1023
15,1,15,1,1024
16,1,16,1,1025
17,1,17,1,1026
18,1,18,1,1027
1885,1,1885,1,1028
1895,1,1895,1,1029
19,1,19,1,1030
1900,1,1900,1,1031
20,1,20,1,1032
21,1,21,1,1033
22,1,22,1,1034
23,1,23,1,1035
24,1,24,1,1036
25,1,25,1,1037
26,1,26,1,1038
27,1,27,1,1039
28,1,28,1,1040
29,1,29,1,1041
30,1,30,1,1042
31,1,31,1,1043
32,1,32,1,1044
33,1,33,1,1045
34,1,34,1,1046
35,1,35,1,1047
36,1,36,1,1048
37,1,37,1,1049
38,1,38,1,1050
39,1,39,1,1051
40,1,40,1,1052
41,1,41,1,1053
42,1,42,1,1054
43,1,43,1,1055
44,1,44,1,1056
